"","Group","TL","B","PB","QB","BA","Catch","Unassim","EE"
"48","WitchFlounder",3.47120713578641,0.863278223693357,0.4,1.84,-0.00456222280105593,0.0546694161259488,0.2,0.270583499214518
"49","BlackSeaBass",3.94718387843662,0.00244449985836604,0.45,1.66,0,4.04960263906408e-05,0.2,0.417495588508556
"50","Butterfish",3.87258120960085,0.0545383938581079,1.312,4.23,0,0.000698508793318773,0.2,0.994501904013733
"51","Sharks",4.9669936861821,0.00888,0.13,0.62,0,0,0.2,0.407783081252932
"52","WinterSkate",4.00133497511047,0.216641243173886,0.14,0.83,0,0.00117994020315528,0.2,0.671814228908752
"53","Pinnipeds",4.77207561523239,0.063,0.07,4.85,0,0,0.2,0.0729166782585034
"54","BaleenWhales",4.06963699819398,0.602,0.04,3.75,0,0,0.2,0.00254599247043189
"55","Odontocetes",4.84321784714505,0.0336,0.04,8,0,0,0.2,0.416010790322837
"56","Megabenthos",2.68128709615914,2.50479070702381,1.91,15.53,0.00131600240914941,0.0304016118178314,0.3,0.906600150136919
"57","Krill",2.84971465976393,1.77916967224,14.25,36.5,0,0,0.2,0.664044371461619
"58","Detritus",1,6989.21960416799,0.5,0,0,0,0,0.639642226345608
